abwischen	silmek
alles	hepsi
anschauen	izlemek
Arzt	tabip
aufblasen	şişirmek
Autor	yazar
Berg	dağ
Brief	mektup
bringen	götürmek
Brücke	köprü
bügeln	ütülemek
denken	düşünmek
dieses	bu
gefallen	beğenmek
Getränk	içecek
Hand	el
jenes	şu
kennen	tanımak
Knoten	düğüm
Krone	taç
persisch	Farsça
Pullover	kazak
Stadtviertel	mahalle
verändern	değiştirmek
wählen	seçmek
was	neyi
wen	kimi
Horoskop [Sternzeichen]	burç
Akte [Ordner]	dosya
legen [stellen, einwerfen]	koymak
benachrichtigen	haberdar etmek
besuchen	ziyaret etmek
einladen	davet etmek
senden [schicken]	göndermek
Lage [Zustand]	hal
jeder [alle]	herkes
gegenüber [gegen]	karşı
tragen [befestigen]	takmak
