Wohnblock	apartman
Westen	batı
manchmal	bazen
defekt	bozuk
anderthalb	buçuk
Wohnung	daire
Grad	derece
Osten	doğu
Dusche	duş
niedrig	düşük
Tag	gün
Krach	gürültü
Woche	hafta
Teppich	halı
welcher	hangi
jeder	her
Seide	ipek
wieviel	kaç
Heizkörper	kalorifer
Etage	kat
geschossig	katlı
Kölnischwasser	kolonya
Schachtel	kutu
Liste	liste
bitte	lütfen
Gehalt	maaş
Zimmer	oda
durchschnittlich	ortalama
Packung	paket
Hose	pantolon
Stunde [Uhr]	saat
nur [allein]	sadece
Temperatur	sıcaklık
Reihe [Stelle]	sıra
letzte [Ende]	son
Februar	şubat
insgesamt	toplam
oder	veya
Komma	virgül
halb	yarım
Jahr	yıl
Olive	zeytin
